,AmazonReviewsClassification,MasakhaNEWSClassification,MassiveIntentClassification,MassiveScenarioClassification,MTOPDomainClassification,MTOPIntentClassification,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,OpusparcusPC,AlloprofReranking,SyntecReranking,AlloprofRetrieval,BSARDRetrieval,SyntecRetrieval,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr,FloresBitextMining_fra_Latn-eng_Latn,FloresBitextMining_eng_Latn-fra_Latn,DiaBLaBitextMining_fr-en
MasakhaNEWSClusteringS2S,0.7083718778908418,0.7516623314096922,0.7309204440333025,0.7666512488436633,0.7649167437557817,0.7377428307123034,0.6709065679925994,0.5048566142460684,0.6778445883441259,0.7501156336725254,1.0,0.6866327474560592,0.8796253469010176,,0.7181621954979956,0.6778877298065392,0.672602700405372,0.23777459958765584,0.6929261948022475,0.6226873265494912,0.5596669750231268,0.6016015729148023,0.16061517113783533,0.6287054681383671,0.6415448564414236,0.5516667183232836
MLSUMClusteringP2P,0.543940795559667,0.6724486857149784,0.42437557816836263,0.41154024051803884,0.47490749306197966,0.5056660499537465,0.8238899167437558,0.2705827937095282,0.4592969472710453,0.6731036077705828,0.6866327474560592,1.0,0.67368177613321,,0.4512488436632747,0.4538724416204704,0.42288456552608017,0.21692341397359136,0.4284227316277335,0.2882747456059204,0.42032839962997226,0.222948165801007,0.26549491211840887,0.43176907149818694,0.4103112029610881,0.3195904901454729
MLSUMClusteringS2S,0.7769426456984274,0.6289679108518947,0.7829555966697502,0.79868177613321,0.7964847363552267,0.7668825161887142,0.605804810360777,0.5951665124884367,0.7521970397779834,0.6081174838112858,0.8796253469010176,0.67368177613321,1.0,,0.7535615171137835,0.6943143608018513,0.675031077729968,0.27094694033730393,0.6782347713064402,0.677382053654024,0.5108695652173914,0.6441559946029614,0.1196808510638298,0.7546329369048168,0.7646877718228612,0.6846341241036077
OpusparcusPC,,,,,,,,,,,,,,,,,,,,,,,,,,
AlloprofReranking,0.8622263336416898,0.7344887148544363,0.8978723404255319,0.8865248226950354,0.8808510638297873,0.8053654024051804,0.5299414122725871,0.39858156028368796,0.6487203206907185,0.7261794634597595,0.7181621954979956,0.4512488436632747,0.7535615171137835,,1.0,0.9181269365646605,0.8996268776055604,0.3767675185500329,0.8966560559837519,0.8295405488744989,0.7312365094048721,0.8132844063196356,0.11723712611779216,0.7610112708914755,0.7617300386255176,0.7197206763020356
SyntecReranking,0.8604315587544434,0.7954651103786485,0.8809070072486,0.8524496042567214,0.8866910322469493,0.814622080767517,0.6258893450713789,0.3269709331566865,0.6400023660673513,0.755162303784486,0.6778877298065392,0.4538724416204704,0.6943143608018513,,0.9181269365646605,1.0,0.904300610519968,0.36892506817576104,0.9673648883231107,0.8790561192491283,0.8512927992570516,0.8367412454766444,0.2551911829271716,0.7323356369310565,0.7264108689078868,0.6883850623012349
AlloprofRetrieval,0.7797982137339682,0.8038104603087529,0.8723078260995313,0.8542106331805179,0.8872250010934783,0.7815327689658225,0.5191523808939943,0.29435402284567597,0.5632679022908221,0.7468994828364648,0.672602700405372,0.42288456552608017,0.675031077729968,,0.8996268776055604,0.904300610519968,1.0,0.445529263264728,0.939005763795648,0.8035038019026437,0.8108467523841603,0.7610870193697601,0.04261224019588749,0.6540105291137699,0.6417504748861685,0.6289934624398668
BSARDRetrieval,0.39220369304182096,0.3668421390011213,0.33053868104113593,0.2941083425392903,0.3356330047991176,0.3349814052486781,0.1661578853620764,-0.01954798651318546,0.08334550613349073,0.33948336577898747,0.23777459958765584,0.21692341397359136,0.27094694033730393,,0.3767675185500329,0.36892506817576104,0.445529263264728,1.0,0.3904365611880173,0.2705322860779333,0.3359291864129538,0.16462250001498194,0.20649782116655913,0.3170957885009219,0.30733817974856903,0.3640353784886195
SyntecRetrieval,0.822256993765338,0.8199907944101019,0.8701487207516703,0.8533750482564573,0.8877321567466522,0.7924114247738556,0.633061536069332,0.314708800160186,0.6144369755746473,0.7444040172875563,0.6929261948022475,0.4284227316277335,0.6782347713064402,,0.8966560559837519,0.9673648883231107,0.939005763795648,0.3904365611880173,1.0,0.8713055257513402,0.8738504967506139,0.8307256855755265,0.20232519444225888,0.703621467003012,0.6926992571790102,0.6625945311511124
SICKFr,0.8569611470860314,0.6694420363893396,0.9041396854764108,0.8856382978723404,0.8745374653098983,0.8191489361702128,0.49861239592969475,0.4070305272895467,0.5873034227567068,0.6312442183163737,0.6226873265494912,0.2882747456059204,0.677382053654024,,0.8295405488744989,0.8790561192491283,0.8035038019026437,0.2705322860779333,0.8713055257513402,1.0,0.7774051803885291,0.9598450468004454,0.23947733580018501,0.7697293231456886,0.7906419375898744,0.7714083077459621
STS22,0.7406336725254394,0.835964152886256,0.7709296947271045,0.7642229417206291,0.8146392229417206,0.7615633672525439,0.6253469010175763,0.021160962072155412,0.36609620721554115,0.7731267345050878,0.5596669750231268,0.42032839962997226,0.5108695652173914,,0.7312365094048721,0.8512927992570516,0.8108467523841603,0.3359291864129538,0.8738504967506139,0.7774051803885291,1.0,0.7342950481516568,0.12858464384828863,0.6311283449424577,0.5957688934299132,0.5951463199351242
STSBenchmarkMultilingualSTS,0.8193460730202464,0.5944953600449191,0.8784365879187498,0.871556185499061,0.85299644451822,0.7895117230323523,0.4528923710371597,0.4133445117508815,0.6294122751321998,0.5705530342646102,0.6016015729148023,0.222948165801007,0.6441559946029614,,0.8132844063196356,0.8367412454766444,0.7610870193697601,0.16462250001498194,0.8307256855755265,0.9598450468004454,0.7342950481516568,1.0,0.15223613084907972,0.7392487209959863,0.7617999363079248,0.7548723325521155
SummEvalFr,0.2978723404255319,0.2202370631030398,0.09100370027752082,0.012488436632747455,0.06648936170212766,0.12939407955596668,0.3553422756706753,0.00578168362627197,0.09296947271045329,0.2379740980573543,0.16061517113783533,0.26549491211840887,0.1196808510638298,,0.11723712611779216,0.2551911829271716,0.04261224019588749,0.20649782116655913,0.20232519444225888,0.23947733580018501,0.12858464384828863,0.15223613084907972,1.0,0.1568036167570394,0.1974127119319124,0.11187517350904823
FloresBitextMining_fra_Latn-eng_Latn,0.7427670530693989,0.6076514907416821,0.8362652476887905,0.8186217345513107,0.8271949909350157,0.8235296132057505,0.47817648105345967,0.37641565528165677,0.5401772772196741,0.5765825543272911,0.6287054681383671,0.43176907149818694,0.7546329369048168,,0.7610112708914755,0.7323356369310565,0.6540105291137699,0.3170957885009219,0.703621467003012,0.7697293231456886,0.6311283449424577,0.7392487209959863,0.1568036167570394,1.0,0.9755751426468102,0.9255674800738048
FloresBitextMining_eng_Latn-fra_Latn,0.7503169688206008,0.5962392672245183,0.8551866648672679,0.8256397983496895,0.8240292773235741,0.8340021190622117,0.44741512967813096,0.41433750552637655,0.5644256765370523,0.5649212214681648,0.6415448564414236,0.4103112029610881,0.7646877718228612,,0.7617300386255176,0.7264108689078868,0.6417504748861685,0.30733817974856903,0.6926992571790102,0.7906419375898744,0.5957688934299132,0.7617999363079248,0.1974127119319124,0.9755751426468102,1.0,0.9207508743926649
DiaBLaBitextMining_fr-en,0.7420518675087476,0.5090202611357422,0.8245706007805815,0.8012581335333818,0.799777976882766,0.7887384751969228,0.4004440471853639,0.36522865353946177,0.5133676649885984,0.5043633786973519,0.5516667183232836,0.3195904901454729,0.6846341241036077,,0.7197206763020356,0.6883850623012349,0.6289934624398668,0.3640353784886195,0.6625945311511124,0.7714083077459621,0.5951463199351242,0.7548723325521155,0.11187517350904823,0.9255674800738048,0.9207508743926649,1.0
