hal_id,title,domain,lang
hal-00011893,Les polysaccharides naturels comme support de catalyseurs,chim,fr
hal-00011903,Science des surfaces et catalyse par les métaux et alliages,chim,fr
hal-00011907,Détermination de l'acidité des catalyseurs solides par microcalorimétrie d'adsorption,chim,fr
hal-00011908,"Catalyseurs solides à base d'hétéropolyacides pour la catalyse acide : élaboration, caractérisation, mode d'activation des hydrocarbures",chim,fr
hal-00011972,Importance de la catalyse dans l'industrie chimique,chim,fr
hal-00012008,Photocatalyse : principes et applications,chim,fr
inria-00000480,Calcul de formules affines et de séries entières en arithmétique exacte avec types co-inductifs,info,fr
halshs-00005468,Penser l'espace par la spatialité. Pour en finir avec le dualisme continu/discontinu,shs,fr
inria-00000681,Quel avenir pour les moteurs de recherche ?,info,fr
halshs-00005604,"Compte-rendu de l'ouvrage de I. Baszanger, M. Bungener, A. Paillet (Dirs.). Quelle médecine voulons-nous ? Paris : La Dispute, 2002. 249 p.",shs,fr
inria-00000703,Suivi 3D temps réel : approche contour/texture,info,fr
halshs-00005633,"Renascer, reviver São Luis : l'exemple d'une ville en mutation",shs,fr
hal-00013399,Testing integrated circuits from an ergonomic point of view: the expert system PESTICIDE,spi,en
halshs-00005757,Y-a-t-il une européanisation de la gestion des ressources humaines dans les firmes multinationales ?,shs,fr
halshs-00005557,"La vie rurale en France au Moyen Age, Xe-XVe siècle",shs,fr
hal-00003889,Le contexte social est-il contingent dans la modélisation de la cognition ? L'effet des interactions sociales dans des taches de production d'items,scco,fr
edutice-00000653,"EadGen, un environnement ouvert de production en ligne basé sur XML et XSL-T",shs,fr
tel-00002960,Contribution à la mécanique statistique quantique des gaz froids,phys,fr
tel-00002966,Etude de la robustesse du contrôle intelligent face aux fautes induites par les radiations,spi,fr
tel-00002970,"Etude de VCO pour les circuits à fréquence intermédiaire, analyse et simulation du bruit de phase (Voltage controlled oscillator study for intermediate frequency oscillator noise analysis and simulation)",spi,fr
tel-00002973,Outils pour l'exploration d'architectures programmables embarquées dans le cadre d'applications industrielles (Tools for exploration of embedded programmable architectures in industrial applications),spi,fr
tel-00002994,Diagnostic des erreurs de conception dans les circuits digitaux : le cas des erreurs simples,info,fr
tel-00002995,"Observatoire Pierre Auger : Analyse des gerbes inclinées, observation de neutrinos d'ultra haute énergie, et signature d'une origine locale pour les rayons cosmiques chargés",phys,fr
tel-00002997,Etude d'un coeur de processeur pour l'arithmétique exacte,spi,fr
tel-00003009,Vérification formelle des résultats de la synthèse de haut niveau,info,fr
tel-00003024,Spécification d'une architecture émergente fondée sur le raisonnement par analogie. Application aux références bibliographiques,info,fr
tel-00003045,Etude de méthodes pour la recherche avec le détecteur VIRGO d'ondes gravitationnelles émises par des étoiles à neutrons,phys,fr
tel-00003047,Techniques de conception pour le durcissement des circuits intégrés face aux rayonnements,spi,fr
tel-00003049,"Developpement d'un code de calcul micromagnetique 2D et 3D: Application a des systemes reels de types films, plots et fils",phys,fr
tel-00003015,Le modèle de Davies-Fulling. Un modèle pour la radiation de Hawking.,phys,fr
tel-00003120,Contributions Numériques à l'Etude des Fonctions de Green et des Propriétés du Vide de la Chromodynamique Quantique,phys,fr
tel-00003122,Etudes autour des anisotropies du corps noir cosmologique et des amas de galaxies,sdu,fr
tel-00003152,Identification d'électrons et application à la mesure de la section efficace de production du quark top avec le détecteur D0 au TeVatron,phys,fr
tel-00003154,Étude de modes de désintégration non charmée du méson B et recherche de la violation de la symétrie CP,phys,fr
tel-00003916,Phénomènes collectifs dans les matériaux granulaires. Ecoulements de surface et réarrangements internes dans des empilements modèles,phys,fr
tel-00003941,Renversement d' aimantation par injection d' un courant polarise en spin,phys,fr
tel-00003939,Mécanismes hydrologiques et hydrochimiques impliqués dans les variations saisonnières des teneurs en nitrate dans les bassins versants agricoles. Approche expérimentale et modélisation,sdu,fr
tel-00004006,Variétés de courbure de Ricci presque minorée: inégalités géométriques optimales et stabilité des variétés extrémales,math,fr
tel-00004024,Gestion de grands catalogues et application de releves infrarouges a l'etude de la structure galactique,sdu,fr
tel-00004028,Dynamique d'applications non polynomiales et courants laminaires,math,fr
tel-00004039,"Première observation de la transition fortement interdite 1S0-3P0 du strontium, pour une horloge optique à atomes piégés",phys,fr
tel-00003429,L'exhumation de la Zone Axiale des Pyrénées orientales : Une approche thermo-chronologique multi-méthodes du rôle des failles.,sdu,fr
tel-00003430,Etude de l'oxydation et de la tenue d'élastomères irradiés : conséquences sur l'intégrité des câbles électriques lors d'une situation accidentelle d'un réacteur à eau pressurisée,phys,fr
tel-00003455,Mesures des neutrinos de réacteurs nucléaires dans l'expérience BOREXINO,sdu,fr
tel-00003488,Premiers résultats de l'expérience HESS et étude du potentiel de détection de matière noire supersymétrique,phys,fr
tel-00003512,Mécanique Quantique Matricielle et la Théorie des Cordes à Deux Dimensions dans des Fonds Non-triviaux,phys,fr
tel-00003563,"Développements chimiques et instrumentaux en géochimie, en vue des analyses isotopiques Lu-Hf et Sm-Nd. Application à la géochronologie des roches métamorphiques de haute pression.",chim,fr
tel-00003585,Aspects statistique et dynamique de la multifragmentation nucléaire,phys,fr
tel-00003602,"Interférométrie atomique avec l'atome de lithium : analyse théorique et construction d'un interféromètre, applications.",phys,fr
tel-00003223,"Mise en place et validation d'un modèle in vitro pour l'étude des propriétés mécaniques, diffusives et métaboliques d'un Foie bioartificiel à lit fluidisé.",sdv,fr
tel-00003224,"Mesure des rapports d'embranchement et recherche de la violation de CP dans les modes B0->rho pi, rho K",phys,fr
tel-00003258,Contribution à la compréhension des mécanismes élémentaires d'usure douce des élastomères chargés réticulés,phys,fr
tel-00003276,Excitations magnétiques hautes fréquences dans des films minces à aimantation non uniforme,phys,fr
tel-00003334,La simulation électronique de CELESTE : étude des biais et application à l'obsevation de la Nébuleuse de Crabe,phys,fr
tel-00003348,Techniques multi-antennes émission-réception ; Applications aux réseaux domestiques sans fil,spi,fr
tel-00003400,Sur les déformations des systèmes complètement intégrables classiques et semi-classiques,math,fr
tel-00004131,REALISATION ET ETUDE DE STRUCTURES A MODULATION D'INDICE OPTIQUE EN SILICIUM POREUX,phys,fr
tel-00004188,Modélisation conceptuelle de la transformation pluie-débit dans le contexte méditerranéen,sdu,fr
tel-00004216,Avalanches granulaires en milieu fluide,phys,fr
tel-00004218,Etude des propriétés optiques des nanotubes de carbone,phys,fr
tel-00004225,Noyau et métrique de Bergman dans des formules de représentations pour les convexes de type fini et applications,math,fr
tel-00004231,Etude des propriétés mésoscopiques dans les systèmes quasi-unidimensionnels à onde de densité de charge,phys,fr
tel-00004272,Source laser picoseconde à haute cadence dans l'ultraviolet,phys,fr
tel-00004274,Application des méthodes intégrales pour l'évaluation de la performance des puits horizontaux dans un réservoir stratifié à géométrie quelconque,math,fr
tel-00004295,Photo-association de l'hélium métastable au voisinage de la Condensation de Bose-Einstein et formation de dimères géants,phys,fr
tel-00004296,"Molécules froides: formation, piégeage et spectroscopie. -Accumulation de dimères de césium dans un piège quadrupolaire magnétique. -Spectroscopie par frustration de photoassociation.",phys,fr
edutice-00000510,Étude des effets de deux modes de navigation dans un logiciel d'aide à la réécriture,shs,fr
edutice-00000525,Appropriation de réseaux de navigation hypermédias par des élèves de collège. Résultats d'une expérimentation et perspectives,shs,fr
edutice-00000138,Effets et usages d'une aide multimédia à l'écriture,shs,fr
edutice-00000216,Ordinateurs et apprentissages. Qu'apporte le multimédia aux apprentissages ? Un bref état des lieux,shs,fr
edutice-00000270,L'autoformation dans les dispositifs de formation ouverte et à distance : instrumenter le développement de l'autonomie dans les apprentissages,shs,fr
hal-03988439,Conception robuste d'une chaine éolienne passive,spi,fr
tel-04186431,"Surveillance, diagnostic et pronostic de défaillance dans les systèmes de radio/télédiffusion",spi,fr
tel-04185669,Complexité vocale et contrôle cognitif chez le corbeau freux (Corvus frugilegus),scco,fr
halshs-00004696,"Le grammairien, un passeur de culture.",shs,fr
hal-00009029,La polarisation des spins nucléaires: une cause microscopique d'effets macroscopiques,phys,fr
hal-00005508,Parcours interprétatifs et terminologie,info,fr
hal-00005310,"Simulation globale du fonctionnement à 94 GHz d'un oscillateur ATT pulsé, basée sur le couplage de modèles physique, électrique, thermique et électromagnétique",spi,fr
inria-00000106,Noyau de viabilité : une contrainte globale pour la modélisation de systèmes dynamiques,info,fr
inria-00000219,Etat de l'art des stratégies multi-agents de patrouille,info,fr
tel-00001150,Théories homologiques des algèbres de Hopf,math,fr
tel-00001153,La problématique de l'évolution des moments d'une densité de particules soumises à des forces non linéaires,phys,fr
tel-00001196,Au bout de la corde... la theorie M,phys,fr
tel-00001227,Etudes de la stabilité mécanique des cavités supraconductrices et de la méthode de rigidification par projection thermique de cuivre,phys,fr
tel-00001288,Effets de lentille gravitationnelle sur le rayonnement de fond cosmique,sdu,fr
tel-00001289,Aspects semi-classiques de la quantification géométrique,math,fr
tel-00001294,Homogénéisation Numérique de Paramètres Pétrophysiques Pour des Maillages Déstructurés en Simulation de Réservoir,math,fr
tel-00001306,Structure et déformation des films de Langmuir. Application aux copolymères diblocs neutres-chargés,phys,fr
tel-00001315,LA TRANSFORMATION D'ÉTAT DE CHARGE 1+/n+ POUR L'ACCELERATION DES IONS RADIOACTIFS,phys,fr
tel-00001343,Intégrales stables multiples : propriétés des lois ; principe local d'invariance pour des variables aléatoires stationnaires,math,fr
tel-00001347,Quelques résultats mathématiques et simulations numériques d'écoulements régis par des modèles bifluides.,math,fr
tel-00001360,Solutions exactes de la gravité réduite. Effet Hall quantique de spin,phys,fr
tel-00001385,Modélisation mathématique et résolution numérique de problèmes de fluides à plusieurs constituants.,math,fr
tel-00001399,Caractérisation du transport de neutrons de spallation dans un grand volume de plomb. Mesures de flux et de taux de transmutation différentiels,phys,fr
tel-00001407,Caractérisation des performances à basse énergie du futur télescope sous-marin à neutrinos ANTARES et leur application à l'étude des oscillations des neutrinos atmosphériques,sdu,fr
halshs-00004789,« Un bon créateur crée (aussi) avec ses pieds »,shs,fr
hal-00009388,Structures de contact sur les varietes fibrees en cercles au-dessus d'une surface,math,fr
inria-00000355,Un SIS pour les universités -- Modélisation de l'acteur et méta données,info,fr
hal-00009540,Cosmological Topology in Paris 1998,phys,it
hal-00010250,Analyse in situ des surfaces tribologiques,chim,fr
hal-00009599,"VULGARISATION SCIENTIFIQUE : Contribution à l'article de GRUMBERG P, Essence/diesel le plus polluant n'est pas celui qu'on croit",chim,fr
hal-00009610,Fouille de données biomédicales complexes : extraction de règles et de profils génétiques dans le cadre de l'étude du syndrome métabolique,sdv,fr
hal-00009751,Introduction aux techniques physiques,chim,fr
hal-00009753,Etude du mécanisme de rupture de la liaison C-N lors de l'hydrodésazatation de la piperidine en présence d'un catalyseur NiMo/Al2O3 sulfure,chim,fr
hal-00009769,Activité catalytique basique de l'hydrotalcite dans la réaction de condensation aldolique entre le benzaldéhydes et l'acétone,chim,fr
hal-00010281,La microcalorimétrie appliquée à l'étude des zéolithes,chim,fr
tel-00002444,Mesure des sections efficaces inclusives de jets dans les collisions photon-proto à HERA,phys,fr
tel-00002447,Etude de la violation de la symétrie CP dans les canaux charmonium-K^*(892) par une analyse angulaire complète dépendante du temps (expérience BaBar),phys,fr
tel-00002476,Influence d'un cisaillment sinusoidal sur la dynamique microscopique de vieillissement d'un verre colloidal,phys,fr
tel-00002490,Dynamique cohérente des polaritons de microcavité de semiconducteurs,phys,fr
tel-00002529,Contraintes du Modele standard par les mesures de sections efficaces et asymetries Z-->ffbar avec le detecteur ALEPH au LEP.,phys,fr
tel-00002555,Optique quantique dans les oscillateurs paramétriques optiques : du monomode au multimode,phys,fr
tel-00002559,"Membranes élastiques et capillaires : instabilités, singularités et auto-adaptation",spi,fr
tel-00002623,Dynamique lente des systèmes magnétiques désordonnés,phys,fr
tel-00002626,Etude de la détection de monopôles magnétiques au sein du futur télescope à neutrinos ANTARES et caractérisation des performances du traitement des impulsions des photomultiplicateurs,sdu,fr
tel-00002634,Propriétés extrémales et caractéristiques des exemples de Lattès,math,fr
tel-00002635,"Contribution à l'analyse et à l'approximation des problèmes d'identification, de reconstruction et des systèmes d'équations elliptiques non linéaires",math,fr
tel-00002636,Calorimetrie et recherche de sources en astronomie gamma spatiale,phys,fr
tel-00002645,Etude de la symétrie CPT dans le système des kaons neutres,phys,fr
tel-00002018,Mesures de temps de fission par la technique d'ombre dans les monocristaux: un accès à la dissipation nucléaire,phys,fr
tel-00002667,Modélisation conjointe de données longitudinales et de durées de vie,math,fr
tel-00002687,Quelques expériences gravitant autour du problème de génération de masses,phys,fr
hal-00008126,Émission X(L) du xénon par interaction laser -agrégats,phys,fr
halshs-00004191,Enquêtes rurales 10 : Les femmes dans les sociétés rurales,shs,fr
halshs-00004401,Dons et contre-dons : la logique culturelle de la corruption politique au Japon,shs,fr
halshs-00004455,Cerzat (Haute-Loire) : « Le Pié du Roy ». Un site préhistorique dans un volcan,shs,fr
hal-00007950,Electronic systems CAD,spi,en
tel-00001851,Holomorphie discrète et modèle d'Ising,math,fr
tel-00001892,Nature de la phase basse temperature des verres de spin Heisenberg en dimension 3,phys,fr
tel-00001565,"Interactions intra et inter moléculaires, conformation des polymères adsorbés, transition de phase sous étirement : que peut-on apprendre des mesures de force",phys,fr
tel-00001902,"Altération diagénétique et post-diagénétique (thermicité, oxydation) des charbons carbonifères du Massif Central français (Saint-Etienne, Graissessac et autres lieux)",sdu,fr
tel-00001929,Recherche du boson de Higgs standard et non-minimal à LEP2 dans l'expérience L3,phys,fr
tel-00002008,Etude des événements di-leptons + 4 jets dans le Run II de l'expérience D0 à Fermilab,phys,fr
tel-00002055,Mesure de relations de fluctuation-dissipation dans un verre de spin,phys,fr
tel-00002084,Mise en œuvre et caractérisation d'un nouveau procédé électromagnétique destiné à favoriser les transferts de masse aux interfaces entre un métal liquide et un sel fondu,phys,fr
tel-00002144,Diodes électroluminescentes organiques à microcavités résonnantes compatibles CMOS,phys,fr
tel-00002166,Renormalisation perturbative et T-dualite - Nouvelles metriques d'Einstein et super-espace harmonique,phys,fr
tel-00002171,Étude de la stabilité de systèmes dynamiques quantiques,math,fr
tel-00002228,Mécanisme d'adhérence des leucocytes aux fibres synthétiques. Application à la filtration sanguine,phys,fr
tel-00002269,Représentations d'algèbres de Lie dans des groupes de cohomologie à support,math,fr
tel-00002326,Caracterisation et modelisation de l'organisation morphofonctionnelle du cytosquelette lors des processus de mecanotransduction,info,fr
tel-00002328,AGAPE : L'effet de microlentille gravitationnelle pour la recherche de matière noire sous forme de MACHOs en direction de la galaxie M31,phys,fr
hal-00008826,Contribution à l'étude de l'échange de métastabilïté dans l'Hélium (1ère partie),phys,fr
hal-00008828,Orientation de niveaux excités du 21Ne par pompage optique dans une décharge,phys,fr
inria-00000253,Intégration de la démarche d'Intelligence Économique dans l'architecture fonctionnelle d'un système d'information,info,fr
inria-00000255,L'Intelligence Économique et les Systèmes d'Informations : Problématiques et approches de solutions,info,fr
hal-00008864,Detecting overlapping communities in linear time with P&A algorithm,phys,en
hal-00011006,Activation des alcanes légers en présence d'hétéropolyacides,chim,fr
hal-00011007,Matériaux microcellulaires à basse densité dopés par des oxydes métalliques,chim,fr
hal-00011071,Etude par spectroscopie infrarouge du mécanisme d'hydratation du propène en présence d'hétéropolyacides,chim,fr
hal-00011074,Nouveaux catalyseurs énantiosélectifs : application à la réduction des cétones prochirales,chim,fr
hal-00011112,Préparation d'un catalyseur à haute teneur en platine supporté sur un tissu de carbone activé,chim,fr
hal-00011634,Catalyse hétérogène asymétrique,chim,fr
hal-00011637,Application de la spectroscopie Raman à la catalyse,chim,it
hal-00011704,Observer une surface à l'échelle atomique et comprendre ses propriétés,chim,fr
hal-00011753,Théorie du microscope à effet tunnel,chim,fr
hal-00011777,Chimie du solide et catalyse hétérogène. I : Phosphates et hydroxyphosphates de fer pour l'oxydéshydrogénation de l'acide isobutyrique en acide méthacrylique,chim,fr
hal-00011780,Séparation des actinides (III) / lanthanides (III) à l'aide de polymères imprimés,chim,fr
hal-00011783,La théorie fonctionnelle de la densité en chimie,chim,fr
hal-00011790,Hydrogénation énantiosélective sur catalyseurs métalliques supportés,chim,fr
hal-00011795,Surfaces d'alliages obtenues par dépôt de Pd sur Ni(111) : structure électronique et chimisorption,chim,fr
hal-00011420,Applications de la spectroscopie Mössbauer à la caractérisation de catalyseurs en catalyse hétérogène,chim,fr
hal-00011423,Application de l'imagerie HAADF à la caractérisation morphologique et analytique de catalyseurs métalliques supportés,chim,fr
hal-00011437,Diffusion des neutrons en catalyse,chim,fr
hal-00011471,Approche combinatoire de la catalyse hétérogène : développement de catalyseurs et évaluation inétique,chim,fr
hal-00011480,Membranes : quelles applications ?,chim,fr
hal-00011512,Réactivité de surface : de l'UHV vers la pression atmosphérique,chim,fr
hal-00011592,Hydrodésulfuration ultime des gazoles : la solution peut-elle n'être que catalytique ?,chim,fr
hal-00011276,Catalyse hétérogène asymétrique,chim,fr
hal-00010777,"Analyse des spectres de RMN du 129Xe adsorbé dans les zéolithes, en relation avec des simulations par dynamique moléculaire",chim,fr
hal-00010790,Présulfuration des catalyseurs d'hydrotraitement : activation et caractérisation,chim,fr
hal-00010804,"Sur la très forte ségrégation du Pd en surface des alliages Pd-X (X=Ni, Fe)",chim,fr
hal-00010836,Propriétés catalytiques de dépôts d'atomes de palladium sur Ni(111),chim,fr
hal-00010845,Propriétés catalytiques de dépôts d'atomes de palladium sur nickel(111),chim,fr
hal-00010848,Nature des sites impliqués dans la fonctionnalisation des alcanes légers,chim,fr
hal-00010849,Le concept de l'anisotropie cristalline : un outil prédictif,chim,fr
hal-00010855,Interprétation théorique d'images STM du benzène adsorbé sur une surface (111) du platine,chim,fr
hal-00010857,Pénétration de molécules dans une zéolithe : une étude statistique Monte-Carlo,chim,fr
hal-00010861,Réduction énantio et diastéréosélective d'aromatiques disubstitués,chim,fr
hal-00010865,Optimisation de la teneur en platine dans les électrodes de piles à combustible,chim,fr
hal-00010891,De la superacidité à la superbasicité des catalyseurs solides : une étude comparative par microcalorimétrie d'adsorption,chim,fr
hal-00010892,Comportement catalytique de Cu/ZrO2 et Cu/ZrO2(SO4 2-) en réduction catalytique sélective du NO par le décane sous atmosphère oxydante,chim,fr
hal-00010903,Modification des propriétés catalytiques du pyrophosphate de vanadyle par alpha-Sb2O4,chim,fr
hal-00010905,Epoxydation à l'aide de catalyseurs phosphonotungstiques solubles et immobilisés,chim,fr
hal-00010925,Complexes supportés : catalyseurs homogènes supportés ou précurseurs de sites catalytiques isolés,chim,fr
hal-00010930,Reconstitution d'images AFM : application à la caractérisation de membranes anodiques,chim,fr
hal-00010943,Surfaces et réactivité,chim,fr
hal-00010962,Induction asymétrique par des complexes à ligands thiourées chiraux,chim,fr
hal-00010577,Comportement catalytique du phosphate double de cuivre-hafnium de type nasicon,chim,fr
hal-00010578,Modification des propriétés catalytiques de pyrophosphate de vanadyle par alpha-Sb2O4 pour l'oxydation du n-butane,chim,fr
hal-00010643,Vers un calcul ab initio du courant tunnel avec un formalisme de diffusion,chim,fr
hal-00010757,Couplages d'aromatiques catalysés par le palladium,chim,fr
hal-00010767,Agrégats Pd-Cu déposés sur silice obtenus à partir d'acétylacétonates,chim,fr
hal-00010771,Oxydation de l'aniline sur la titanosilicalite TS-1,chim,fr
hal-00010773,Nouveaux catalyseurs titane sur silice actifs et sélectifs en époxydation,chim,fr
hal-00011355,"Comparaison du platine, du palladium et de leurs alliages en hydrogénation du butadiène-1,3 : corrélation entre activité/sélectivité et modes d'adsorption",chim,fr
hal-00011400,"L'EXAFS en catalyse, l'arme absolue ou un merveilleux outil supplémentaire ?",chim,fr
hal-00011401,Réaction de transfert d'hydrure asymétrique,chim,fr
hal-00010536,Long-time tail effect of velocity correlation on diffusion-controlled reactions,chim,en
hal-00010576,Oxydation catalytique du n-butane : étude de l'activité et de la sélectivité en anhydride maléique des phosphates de vanadium dopés au chrome ou au zirconium,chim,fr
in2p3-00011336,Etude des impuretes de parite dans les niveaux nucléaires par mesure des polarisations des transitions gamma de 482 keV de $^{181}$Ta et de 279 keV de $^{203}$Tl,phys,fr
